      t(s)           x(m)           y(m)
   0.00000       10.00000        0.00000
   0.01000       10.00000        0.00158
   0.02000       10.00000        0.00316
   0.03000       10.00000        0.00474
   0.04000        9.99999        0.00632
   0.05000        9.99999        0.00791
   0.06000        9.99998        0.00949
   0.07000        9.99998        0.01107
   0.08000        9.99997        0.01265
   0.09000        9.99996        0.01423
   0.10000        9.99995        0.01581
   0.11000        9.99994        0.01739
   0.12000        9.99993        0.01897
   0.13000        9.99992        0.02055
   0.14000        9.99991        0.02214
   0.15000        9.99989        0.02372
   0.16000        9.99988        0.02530
   0.17000        9.99986        0.02688
   0.18000        9.99985        0.02846
   0.19000        9.99983        0.03004
   0.20000        9.99981        0.03162
   0.21000        9.99979        0.03320
   0.22000        9.99977        0.03478
   0.23000        9.99975        0.03637
   0.24000        9.99972        0.03795
   0.25000        9.99970        0.03953
   0.26000        9.99967        0.04111
   0.27000        9.99965        0.04269
   0.28000        9.99962        0.04427
   0.29000        9.99959        0.04585
   0.30000        9.99956        0.04743
   0.31000        9.99953        0.04901
   0.32000        9.99950        0.05060
   0.33000        9.99947        0.05218
   0.34000        9.99944        0.05376
   0.35000        9.99940        0.05534
   0.36000        9.99937        0.05692
   0.37000        9.99933        0.05850
   0.38000        9.99930        0.06008
   0.39000        9.99926        0.06166
   0.40000        9.99922        0.06324
   0.41000        9.99918        0.06483
   0.42000        9.99914        0.06641
   0.43000        9.99910        0.06799
   0.44000        9.99905        0.06957
   0.45000        9.99901        0.07115
   0.46000        9.99896        0.07273
   0.47000        9.99892        0.07431
   0.48000        9.99887        0.07589
   0.49000        9.99882        0.07747
   0.50000        9.99877        0.07905
   0.51000        9.99872        0.08063
   0.52000        9.99867        0.08222
   0.53000        9.99862        0.08380
   0.54000        9.99857        0.08538
   0.55000        9.99851        0.08696
   0.56000        9.99846        0.08854
   0.57000        9.99840        0.09012
   0.58000        9.99835        0.09170
   0.59000        9.99829        0.09328
   0.60000        9.99823        0.09486
   0.61000        9.99817        0.09644
   0.62000        9.99811        0.09802
   0.63000        9.99805        0.09961
   0.64000        9.99798        0.10119
   0.65000        9.99792        0.10277
   0.66000        9.99785        0.10435
   0.67000        9.99779        0.10593
   0.68000        9.99772        0.10751
   0.69000        9.99765        0.10909
   0.70000        9.99758        0.11067
   0.71000        9.99751        0.11225
   0.72000        9.99744        0.11383
   0.73000        9.99737        0.11541
   0.74000        9.99730        0.11699
   0.75000        9.99722        0.11857
   0.76000        9.99715        0.12016
   0.77000        9.99707        0.12174
   0.78000        9.99700        0.12332
   0.79000        9.99692        0.12490
   0.80000        9.99684        0.12648
   0.81000        9.99676        0.12806
   0.82000        9.99668        0.12964
   0.83000        9.99660        0.13122
   0.84000        9.99651        0.13280
   0.85000        9.99643        0.13438
   0.86000        9.99634        0.13596
   0.87000        9.99626        0.13754
   0.88000        9.99617        0.13912
   0.89000        9.99608        0.14070
   0.90000        9.99599        0.14228
   0.91000        9.99590        0.14386
   0.92000        9.99581        0.14544
   0.93000        9.99572        0.14703
   0.94000        9.99563        0.14861
   0.95000        9.99553        0.15019
   0.96000        9.99544        0.15177
   0.97000        9.99534        0.15335
   0.98000        9.99525        0.15493
   0.99000        9.99515        0.15651
   1.00000        9.99505        0.15809
   1.01000        9.99495        0.15967
   1.02000        9.99485        0.16125
   1.03000        9.99475        0.16283
   1.04000        9.99464        0.16441
   1.05000        9.99454        0.16599
   1.06000        9.99443        0.16757
   1.07000        9.99433        0.16915
   1.08000        9.99422        0.17073
   1.09000        9.99411        0.17231
   1.10000        9.99400        0.17389
   1.11000        9.99389        0.17547
   1.12000        9.99378        0.17705
   1.13000        9.99367        0.17863
   1.14000        9.99356        0.18021
   1.15000        9.99344        0.18179
   1.16000        9.99333        0.18337
   1.17000        9.99321        0.18495
   1.18000        9.99310        0.18653
   1.19000        9.99298        0.18811
   1.20000        9.99286        0.18969
   1.21000        9.99274        0.19127
   1.22000        9.99262        0.19285
   1.23000        9.99250        0.19443
   1.24000        9.99237        0.19601
   1.25000        9.99225        0.19759
   1.26000        9.99212        0.19917
   1.27000        9.99200        0.20075
   1.28000        9.99187        0.20233
   1.29000        9.99174        0.20391
   1.30000        9.99161        0.20549
   1.31000        9.99148        0.20707
   1.32000        9.99135        0.20865
   1.33000        9.99122        0.21023
   1.34000        9.99109        0.21181
   1.35000        9.99095        0.21339
   1.36000        9.99082        0.21497
   1.37000        9.99068        0.21655
   1.38000        9.99055        0.21813
   1.39000        9.99041        0.21971
   1.40000        9.99027        0.22129
   1.41000        9.99013        0.22287
   1.42000        9.98999        0.22445
   1.43000        9.98984        0.22603
   1.44000        9.98970        0.22761
   1.45000        9.98956        0.22919
   1.46000        9.98941        0.23077
   1.47000        9.98927        0.23235
   1.48000        9.98912        0.23392
   1.49000        9.98897        0.23550
   1.50000        9.98882        0.23708
   1.51000        9.98867        0.23866
   1.52000        9.98852        0.24024
   1.53000        9.98837        0.24182
   1.54000        9.98822        0.24340
   1.55000        9.98806        0.24498
   1.56000        9.98791        0.24656
   1.57000        9.98775        0.24814
   1.58000        9.98759        0.24972
   1.59000        9.98744        0.25130
   1.60000        9.98728        0.25288
   1.61000        9.98712        0.25446
   1.62000        9.98696        0.25603
   1.63000        9.98679        0.25761
   1.64000        9.98663        0.25919
   1.65000        9.98647        0.26077
   1.66000        9.98630        0.26235
   1.67000        9.98614        0.26393
   1.68000        9.98597        0.26551
   1.69000        9.98580        0.26709
   1.70000        9.98563        0.26867
   1.71000        9.98546        0.27025
   1.72000        9.98529        0.27182
   1.73000        9.98512        0.27340
   1.74000        9.98494        0.27498
   1.75000        9.98477        0.27656
   1.76000        9.98460        0.27814
   1.77000        9.98442        0.27972
   1.78000        9.98424        0.28130
   1.79000        9.98406        0.28288
